AGE,E401K,FSIZE,INC,MALE,MARR,NETTFA
40,0,1,13.17,0,0,4.575
35,1,1,61.23,1,0,154
44,0,2,12.858,0,1,0
44,0,2,98.88,1,1,21.8
53,0,1,22.614,0,0,18.45
60,0,3,15,0,1,0
49,0,5,37.155,0,1,3.483
38,0,5,31.896,0,1,-2.1
52,0,2,47.295,0,1,5.29
45,1,1,29.1,1,0,29.6
61,0,3,23.457,0,1,0
40,0,6,31.785,0,1,18.149
48,0,3,34.941,0,1,0.695
60,0,2,24.432,0,1,0.2
43,0,5,25.131,0,1,-4.25
43,0,1,19.074,1,0,0
47,1,2,38.772,0,1,4.15
27,1,2,12.48,0,1,-10
57,1,2,45.39,0,1,122.5
35,0,2,39.861,0,1,1.6
53,1,5,102.6,0,1,40.999
36,0,4,39.579,0,1,12.175
40,0,3,40.194,0,1,8.3
31,0,1,25.254,1,0,9.687
48,0,2,10.8,0,0,0.5
42,0,1,27,1,0,0.13
42,0,5,17.856,0,1,-15.495
35,1,2,38.94,0,1,0.2
32,0,2,12.24,1,0,-2.5
46,0,2,18,0,0,0
25,1,1,21.456,0,0,-21.02
39,0,5,14.025,0,1,1.4
36,0,4,15.186,1,1,-5.192
34,1,5,41.415,0,1,5.8
52,0,2,12.966,0,0,-4.25
41,0,2,58.8,0,1,63.7
44,1,5,63.849,0,1,5.899
61,1,2,47.1,1,0,59.8
63,0,3,36.072,0,1,72.225
51,1,2,107.64,0,1,69
49,1,4,58.92,0,1,19.679
36,1,4,48.615,0,1,-2.7
34,0,6,29.205,0,1,0.268
36,0,2,24.441,0,0,2
28,0,5,18.525,0,1,-1.98
38,0,4,15.36,0,1,-0.95
54,0,2,53.475,0,1,0.33
47,1,6,31.056,0,1,5.64
46,0,5,36.072,0,1,0
51,1,2,19.164,0,1,0.899
48,0,1,44.376,1,0,24.999
54,0,2,28.329,0,0,26.53
48,1,1,37.38,1,0,2.999
42,0,1,17.817,1,0,1.7
60,1,2,71.028,0,1,257.6
58,0,1,28.476,0,0,27
30,0,2,34.041,0,1,-4
26,0,1,25.86,0,0,10.5
33,1,4,77.355,0,1,30.9
50,0,4,15.414,0,0,0.145
44,0,4,73.902,0,1,14.299
25,1,1,10.545,1,0,1.031
25,0,1,24.177,1,0,-1.301
46,1,2,33.42,0,0,8.412
51,0,8,53.226,0,1,-1.2
36,0,1,31.869,1,0,1.6
64,0,2,26.946,0,0,-3.8
62,1,2,90.726,0,1,13.6
31,0,8,28.8,0,1,0.1
37,0,7,23.193,0,1,-1.886
64,1,1,36.036,1,0,18.25
28,0,2,56.082,0,1,9.8
25,0,2,16.032,1,0,1.93
38,1,6,52.236,0,1,-3
41,0,3,39.63,0,1,0.225
50,1,5,34.47,0,1,27.798
56,0,6,31.548,0,1,-24.8
28,1,2,31.2,0,1,-72.8
39,1,4,19.806,0,1,25.57
42,1,4,74.529,0,1,17.95
43,1,5,26.682,0,1,3.6
25,0,1,33.75,1,0,-3
43,1,5,146.577,0,1,778.628
32,0,1,23.718,0,0,14.299
31,1,1,19.302,0,0,-3.4
53,0,2,29.4,0,1,27.96
35,0,2,16.977,0,0,-1.025
49,0,7,19.734,0,1,-1.3
43,0,4,14.28,0,1,-0.5
47,0,3,30.075,0,1,4.232
46,0,3,27,0,1,-3.3
36,1,13,33.96,0,1,10.2
47,0,3,64.5,0,1,5.9
31,0,2,24.03,0,0,-4
64,0,1,21.111,0,0,2.5
38,0,2,51.798,0,0,41.999
27,1,2,17.364,0,1,-37.504
28,0,1,19.254,0,0,-1.1
35,0,4,27.603,0,1,7.559
33,0,1,31.44,1,0,-1
45,0,3,30.24,0,0,0.92
28,0,1,16.83,1,0,0.74
34,1,4,30.231,0,1,-0.03
33,0,2,35.4,1,0,2.475
55,1,5,46.155,0,1,53.948
50,0,4,27.33,0,1,-2.6
44,1,3,24.678,0,0,0.583
59,1,2,36.027,1,1,20.249
32,0,4,13.59,0,0,0
49,0,2,15.741,0,0,0.05
52,0,4,27.465,0,1,1.1
55,0,2,54.963,0,1,53.699
63,0,2,18.549,0,1,19
39,1,1,21.576,1,0,14.5
47,0,3,38.76,0,1,-0.5
62,1,2,64.662,0,1,19.444
46,1,2,43.158,0,1,8
43,0,3,17.88,0,0,-3.151
53,1,2,23.7,0,1,13.2
56,0,2,37.755,0,1,-1.2
29,1,3,40.971,1,1,-9.968
28,0,2,13.428,0,1,7.179
48,1,5,92.991,0,1,83.9
41,0,3,35.061,0,1,22
34,0,3,17.136,1,0,0.015
47,0,2,16.956,0,1,0.826
63,1,2,56.7,0,1,94.399
41,0,4,70.275,0,1,-2.157
27,0,2,13.464,0,0,0.4
39,0,4,74.649,0,1,-8.005
41,0,3,24.012,0,0,-9.456
30,0,3,20.559,0,0,2.9
55,0,2,39.528,1,1,-15.718
34,0,1,39.303,0,0,-12.188
31,0,1,17.715,1,0,4.05
54,1,2,55.08,0,1,44.043
55,1,1,20.76,1,0,7.955
40,0,1,14.283,1,0,0.028
31,0,4,20.436,0,1,-0.2
26,0,4,26.388,0,1,0.866
39,0,3,46.104,0,1,4.35
42,1,3,49.71,0,1,27.097
52,1,2,76.806,0,1,80.049
39,1,4,39.705,0,1,71.569
30,0,3,11.22,0,0,0
50,0,4,18.348,0,0,0.3
49,0,6,13.95,0,0,0
32,0,10,15.216,0,1,0.2
32,0,4,36.15,0,1,-2.2
27,0,2,47.34,1,0,-10.43
40,0,6,63.225,0,1,10.571
49,1,2,26.031,0,0,0.5
36,0,5,20.4,0,1,0
36,0,3,17.928,0,0,0
38,1,5,31.8,0,1,12.51
42,0,2,30,1,1,-15.1
43,0,1,26.463,0,0,10.011
42,1,5,73.722,0,1,3.2
32,0,4,33.414,0,1,-4.7
35,1,6,34.08,0,1,5.1
61,1,1,48.9,0,0,28.08
41,1,1,21,1,0,-2.347
59,1,2,39.609,0,1,48.684
45,1,5,80.85,0,1,132.425
35,1,4,91.761,0,1,-3.45
41,0,5,46.719,0,1,4
25,0,1,19.2,1,0,0
35,1,2,102.705,0,1,56.6
33,0,3,54.966,0,1,1.4
38,0,2,12.75,1,0,0
50,1,2,52.836,0,1,37.65
32,0,3,12.72,0,1,0
28,1,1,26.646,0,0,62.679
44,0,5,59.664,0,1,11.4
58,0,2,39.15,0,1,189.4
47,0,6,21.3,0,1,-0.986
48,0,3,30.87,0,0,10.95
57,0,2,16.5,0,1,23
57,0,4,32.592,0,1,-2.1
34,0,5,27.345,0,1,0.409
57,0,5,35.418,0,1,-5.75
45,0,1,24.3,0,0,0.05
46,1,2,52.365,0,1,6
29,0,4,26.865,1,1,-1.945
35,0,3,39.48,0,1,40.2
40,1,2,45.693,0,1,18.576
42,0,5,39.3,0,1,-4.9
60,0,1,14.244,0,0,120
27,0,3,43.518,0,1,-7.5
27,0,1,10.857,1,0,1.046
33,0,3,51.222,0,0,1.6
63,0,2,34.764,1,1,3
43,0,7,16.959,0,1,-0.5
26,0,5,23.64,0,1,-6.001
45,1,4,56.304,0,1,29.4
54,1,2,107.097,0,1,47.922
39,1,4,46.818,0,1,1.8
30,0,3,13.11,0,0,0
36,0,3,29.16,0,0,4.245
52,1,2,42.54,0,1,30.1
49,0,6,74.31,0,1,-5.5
31,0,6,27.729,0,1,-4.88
42,0,3,15,0,0,49.538
57,1,2,54.723,0,1,21.948
44,0,4,61.581,0,1,61.366
43,1,2,72.03,0,1,21.998
48,1,7,37.338,0,1,-18.89
39,0,3,27.354,0,0,2.6
27,1,1,92.898,1,0,30.957
33,0,4,42.942,0,1,-2.205
31,1,5,31.017,0,1,1.209
35,1,1,23.892,0,0,5.249
39,1,2,44.46,0,1,38.307
30,0,2,33.72,1,1,-2.552
37,0,5,52.821,0,1,3.3
43,1,4,86.4,0,1,45.1
31,0,4,14.763,0,1,-5.007
50,1,3,107.301,0,1,371.901
27,0,1,20.385,0,0,-0.8
35,1,2,41.526,0,1,-1.5
41,0,4,27.375,0,1,-1.2
